PaymentNr;SalesOrderNr;CustomerNr;CustomerName;PaymentDate;Value
30509;536;USCU_L04;Quotex;2018-12-15T00:00:00.000Z;23240.0
30510;537;USCU_S17;Bikepros;2018-11-08T00:00:00.000Z;5180.0
30511;538;USCU_S10;Turbo Bikes;2018-11-07T00:00:00.000Z;10290.0
30512;539;USCU_S02;Custom Sports;2018-11-10T00:00:00.000Z;3570.0
30513;540;USCU_S12;Century Cycles;2018-11-04T00:00:00.000Z;5400.0
30514;542;USCU_L04;Quotex;2018-12-08T00:00:00.000Z;3480.0
30515;543;USCU_S15;Northside Bikes;2018-11-05T00:00:00.000Z;2160.0
30516;544;USCU_L09;Bigmart;2018-12-20T00:00:00.000Z;8160.0
30517;545;USCU_L02;Toys4U;2018-12-27T00:00:00.000Z;5760.0
30518;546;USCU_S01;Performance Bikes;2018-11-05T00:00:00.000Z;4640.0
30519;547;USCU_L06;Dexon;2018-12-19T00:00:00.000Z;15840.0
30520;548;USCU_S15;Northside Bikes;2018-11-03T00:00:00.000Z;800.0
30521;549;USCU_S10;Turbo Bikes;2018-11-04T00:00:00.000Z;2240.0
30522;550;USCU_L02;Toys4U;2018-12-21T00:00:00.000Z;960.0
30523;551;USCU_L10;CostClub;2018-12-23T00:00:00.000Z;12320.0
30524;552;USCU_S08;Velocity Cycles;2018-11-04T00:00:00.000Z;7480.0
30525;488;USCU_S05;Greater Hartford Area;2018-11-08T00:00:00.000Z;5720.0
30526;489;USCU_S12;Century Cycles;2018-11-11T00:00:00.000Z;6160.0
30527;490;USCU_S17;Bikepros;2018-11-04T00:00:00.000Z;2200.0
30528;491;USCU_L04;Quotex;2018-12-18T00:00:00.000Z;27280.0
30529;492;USCU_L10;CostClub;2018-12-17T00:00:00.000Z;3080.0
30530;493;USCU_L01;Skymart Corp;2018-12-24T00:00:00.000Z;2640.0
30531;494;USCU_S11;Bike World;2018-11-07T00:00:00.000Z;29025.0
30532;495;USCU_L05;Bluestar Corp;2018-12-14T00:00:00.000Z;1350.0
30533;496;USCU_S02;Custom Sports;2018-11-03T00:00:00.000Z;5400.0
30534;497;USCU_S17;Bikepros;2018-11-09T00:00:00.000Z;16875.0
30535;498;USCU_L09;Bigmart;2018-12-24T00:00:00.000Z;2700.0
30536;499;USCU_S13;Rolling Bike Shop;2018-11-08T00:00:00.000Z;60120.0
30537;500;USCU_L05;Bluestar Corp;2018-12-17T00:00:00.000Z;8016.0
30538;501;USCU_S03;Eastside Bikes;2018-11-10T00:00:00.000Z;180360.0
30539;502;USCU_L03;Viadox;2018-12-25T00:00:00.000Z;16032.0
30540;503;USCU_S14;Cityscape Cycles;2018-11-04T00:00:00.000Z;133266.0
30541;504;USCU_L09;Bigmart;2018-12-09T00:00:00.000Z;6012.0
30542;505;USCU_L10;CostClub;2018-12-21T00:00:00.000Z;31115.0
30543;506;USCU_L03;Viadox;2018-12-10T00:00:00.000Z;12446.0
30544;507;USCU_S17;Bikepros;2018-11-05T00:00:00.000Z;2667.0
30545;508;USCU_S05;Greater Hartford Area;2018-11-06T00:00:00.000Z;8001.0
30546;509;USCU_S07;Westend Cycles;2018-11-05T00:00:00.000Z;6223.0
30547;510;USCU_L04;Quotex;2018-12-27T00:00:00.000Z;22225.0
30548;511;USCU_S03;Eastside Bikes;2018-11-05T00:00:00.000Z;65067.0
30549;512;USCU_S10;Turbo Bikes;2018-11-08T00:00:00.000Z;103155.0
30550;513;USCU_L01;Skymart Corp;2018-12-26T00:00:00.000Z;33327.0
30551;514;USCU_S17;Bikepros;2018-11-03T00:00:00.000Z;165048.0
30552;515;USCU_L09;Bigmart;2018-12-15T00:00:00.000Z;31740.0
30553;516;USCU_S15;Northside Bikes;2018-11-11T00:00:00.000Z;31136.0
30554;517;USCU_L01;Skymart Corp;2018-12-23T00:00:00.000Z;7784.0
30555;518;USCU_S01;Performance Bikes;2018-11-07T00:00:00.000Z;46704.0
30556;519;USCU_S11;Bike World;2018-11-10T00:00:00.000Z;42812.0
30557;520;USCU_L05;Bluestar Corp;2018-12-13T00:00:00.000Z;7784.0
30558;521;USCU_L09;Bigmart;2018-12-13T00:00:00.000Z;6780.0
30559;522;USCU_L02;Toys4U;2018-12-09T00:00:00.000Z;6780.0
30560;553;USCU_S01;Performance Bikes;2018-11-07T00:00:00.000Z;4840.0
30561;554;USCU_L06;Dexon;2018-12-15T00:00:00.000Z;13200.0
30562;555;USCU_L09;Bigmart;2018-12-21T00:00:00.000Z;23760.0
30563;556;USCU_L01;Skymart Corp;2018-12-27T00:00:00.000Z;5720.0
30564;557;USCU_S17;Bikepros;2018-11-08T00:00:00.000Z;440.0
30565;558;USCU_S07;Westend Cycles;2018-11-05T00:00:00.000Z;8775.0
30566;559;USCU_L07;Interlude Inc;2018-12-10T00:00:00.000Z;2025.0
30567;560;USCU_S01;Performance Bikes;2018-11-04T00:00:00.000Z;59400.0
30568;561;USCU_L01;Skymart Corp;2018-12-15T00:00:00.000Z;10125.0
30569;562;USCU_S15;Northside Bikes;2018-11-08T00:00:00.000Z;37800.0
30570;563;USCU_L10;CostClub;2018-12-09T00:00:00.000Z;1350.0
30571;564;USCU_L07;Interlude Inc;2018-12-19T00:00:00.000Z;1002.0
30572;565;USCU_S11;Bike World;2018-11-07T00:00:00.000Z;106212.0
30573;566;USCU_S05;Greater Hartford Area;2018-11-06T00:00:00.000Z;173346.0
30574;567;USCU_S16;Gogo Bikes;2018-11-05T00:00:00.000Z;4008.0
30575;568;USCU_L01;Skymart Corp;2018-12-27T00:00:00.000Z;33066.0
30576;569;USCU_L09;Bigmart;2018-12-10T00:00:00.000Z;6012.0
30577;570;USCU_L01;Skymart Corp;2018-12-09T00:00:00.000Z;13335.0
30578;571;USCU_L10;CostClub;2018-12-22T00:00:00.000Z;12446.0
